programa;periodo;porcentaje
000788;2010-1;23,68
000788;2010-2;16,82
000788;2011-2;16,36
000788;2012-1;25,00
000788;2012-2;16,67
000788;2013-2;17,86
019127;2008-2;15,69
019127;2009-2;24,00
019127;2010-2;14,04
019127;2011-2;17,31
019127;2012-2;16,00
019127;2013-2;12,50
004096;2008-2;17,02
004096;2009-2;14,58
004096;2010-2;10,81
004096;2011-2;12,50
004096;2012-2;9,52
004096;2013-2;16,67
003426;2006-2;31,37
003426;2007-2;24,59
003426;2008-2;30,77
003426;2009-2;34,15
003426;2011-1;39,22
003426;2012-1;50,00
003426;2013-1;40,91
003426;2014-1;31,91
090839;2008-1;13,64
090839;2010-2;2,04
090839;2011-2;16,28
090839;2012-2;19,23
090839;2013-2;21,82
090860;2011-1;12,50
090860;2012-1;15,38
090860;2013-1;18,87
090860;2014-1;7,41
000786;2008-2;2,00
000786;2009-2;2,04
000786;2010-2;1,90
000786;2011-2;4,85
000786;2012-2;3,64
000786;2013-2;6,25
103814;2008-2;20,37
103814;2009-2;12,77
103814;2010-2;14,55
103814;2012-2;11,76
103814;2013-2;10,53
004095;2008-2;16,00
004095;2009-2;11,11
004095;2010-2;13,16
004095;2011-2;30,61
004095;2012-2;15,91
012696;2008-2;13,74
012696;2009-2;19,01
012696;2010-1;20,00
012696;2011-1;16,00
012696;2012-1;30,61
012696;2013-1;33,33
012696;2014-1;28,85
002715;2008-2;17,78
002715;2009-2;33,33
002715;2010-2;10,00
002715;2011-2;28,00
002715;2012-2;30,00
002715;2013-2;15,09
000578;2009-2;66,67
000578;2010-2;38,89
000578;2011-2;72,34
000578;2012-2;26,67
000578;2013-2;60,38
003318;2008-2;22,45
003318;2011-1;22,92
003318;2012-1;25,00
003318;2013-1;26,92
003318;2014-1;14,81
004282;2008-1;22,92
004282;2009-1;19,51
004282;2009-2;12,50
004282;2010-2;6,67
004282;2011-1;22,45
004282;2012-1;27,96
004282;2013-1;35,85
004282;2014-1;19,81
006564;2008-1;27,03
006564;2008-2;27,50
006564;2009-1;32,56
006564;2009-2;23,26
006564;2010-1;21,43
006564;2010-2;27,27
006564;2011-1;21,57
006564;2012-1;26,97
006564;2013-1;25,00
006564;2014-1;24,51
000790;2008-2;28,00
000790;2009-2;10,64
000790;2010-2;24,00
000790;2011-2;16,36
000790;2012-2;8,70
000790;2013-2;26,92
000790;2011-2;19,23
000790;2012-2;20,00
000790;2013-2;17,86
000789;2008-2;23,71
000789;2009-2;25,58
000789;2010-1;18,18
000789;2011-1;18,52
000789;2012-1;16,00
000789;2013-1;13,83
000789;2014-1;17,31
011632;2008-2;26,53
011632;2009-2;29,21
011632;2010-1;50,70
011632;2011-1;8,70
011632;2012-1;26,00
011632;2013-1;17,39
011632;2014-1;24,07
016842;2008-2;28,57
016842;2009-2;18,37
016842;2011-1;11,54
016842;2012-1;24,00
016842;2013-1;21,15
016842;2014-1;16,67
006566;2008-2;36,73
006566;2009-2;36,59
006566;2010-2;36,36
006566;2011-2;28,00
006566;2012-2;31,25
006566;2013-2;30,77
006566;2008-2;36,73
006566;2009-2;36,59
006566;2010-2;36,36
006566;2011-2;28,00
006566;2012-2;31,25
006566;2013-2;30,77
016843;2008-2;13,33
016843;2009-2;19,15
016843;2010-2;10,00
016843;2011-2;4,00
016840;2008-2;17,65
016840;2009-2;23,08
016840;2011-1;25,00
016840;2012-1;28,26
016840;2013-1;37,50
016840;2014-1;34,21
016843;2012-2;40,82
016843;2013-2;9,80
016839;2008-1;23,81
016839;2009-1;26,09
016839;2009-2;31,71
016839;2011-1;14,00
016839;2012-1;19,75
016839;2013-1;17,02
016839;2014-1;20,75
105002;2000-2;35,29
105002;2001-2;12,50
105002;2002-2;17,78
105002;2003-2;26,00
105002;2004-2;14,29
105002;2005-2;6,67
105002;2006-2;19,15
105002;2007-2;23,81
105002;2008-2;27,27
105002;2009-2;17,50
105002;2011-1;22,22
105002;2012-1;34,78
105002;2013-1;18,37
105002;2014-1;26,42
002972;2008-2;27,91
002972;2009-2;17,02
002972;2010-2;17,65
002972;2011-2;16,00
002972;2012-2;16,07
002972;2013-2;26,00
016841;2008-2;20,93
016841;2009-2;20,00
016841;2010-2;5,88
016841;2011-2;13,73
016841;2012-2;17,39
016841;2013-2;7,27
000783;2008-2;36,96
000783;2009-2;48,84
000783;2011-1;40,38
000783;2012-1;29,55
000783;2013-1;59,57
000783;2014-1;30,77
020824;2008-2;18,03
020824;2009-2;18,00
020824;2010-2;11,54
020824;2011-2;6,90
020824;2012-2;17,24
020824;2013-2;13,21
091489;2012-1;18,52
091489;2013-1;27,45
091489;2014-1;17,39
000779;2008-2;10,20
000779;2009-2;23,81
000779;2010-2;7,55
000779;2011-2;16,33
000779;2012-2;6,25
000779;2013-2;15,79
008405;2008-2;34,09
008405;2009-2;20,69
008405;2011-1;25,00
008405;2012-1;13,04
008405;2013-1;17,31
008405;2014-1;14,89
003928;2008-2;14,81
003928;2009-2;16,67
003928;2011-1;14,81
003928;2012-1;21,43
003928;2013-1;3,64
003928;2014-1;11,54
004492;2008-2;29,79
004492;2009-2;40,00
004492;2011-1;48,00
004492;2012-1;39,22
004492;2013-1;30,95
004492;2014-1;37,25
003319;2008-2;24,44
003319;2009-2;25,58
003319;2010-2;8,33
003319;2011-2;38,78
003319;2012-2;27,45
003319;2013-2;16,67
002887;2008-1;29,55
002887;2009-1;16,00
002887;2009-2;10,00
002887;2011-1;27,78
002887;2012-1;20,41
002887;2013-1;18,37
002887;2014-1;20,83
000777;2008-2;10,87
000777;2009-2;17,14
000777;2011-1;14,81
000777;2012-1;29,17
000777;2013-1;36,17
000777;2014-1;19,23
000000;2010-1;28,21
000000;2010-2;14,32
000000;2011-1;21,06
000000;2011-2;23,48
000000;2012-1;25,47
000000;2012-2;18,51
000000;2013-1;24,07
000000;2013-2;14,72
000000;2014-1;21,39
000000;2014-2;17,30
000000;2015-1;22,22
